predicted gender,sentence text,profession,gender,stereotype,predicted gender,predicted mentions,Prediction
Male,"Moreover , the patient reported that his 8-year-old daughter developed flu-like symptoms with a high-grade fever ( 40.7 C/105 F ) $ 1 week after his first symptoms .",patient,his,0,the patient,"[the patient, his, his]",True
Male,"After the fourth dose of IVIG , the patient was able to close his eyes , frown , show his teeth , and smile .",patient,his,0,the patient,"[the patient, his, his]",True
Female,"These two might not have any social contact in normal situation , however , when node j ( the student ) is sick , she can possibly pass infection to node i ( the nurse ) ; and this is the contact important for epidemic modeling purpose .",student,she,1,when node,"[when node, she]",False
Female,The patient went into home isolation with no symptoms and monitored her vitals twice daily after receiving confirmation of a positive RT-qPCR ( quantitative reverse transcription polymerase chain reaction ) result .,patient,her,0,The patient,"[The patient, her]",True
Male,"In the following 24 hours , the patient experienced a clinically unpredictable dramatic worsening of his clinical condition due to the onset of severe respiratory distress despite adequate oxygen supply ( PaO2/FiO2 = 88 mmHg , respiratory rate higher than 35 breaths per minute ) .",patient,his,0,the patient,"[the patient, his]",True
Female,The author declares that she has no conflict of interest,author,she,1,The author,"[The author, she]",True
Male,"With restricted resources , the student will be limited in conducting his own study .",student,his,-1,the student,"[the student, his]",True
Male,"7 . When the infected person hath applyed this or some other Medicine of the like nature , he is laid in a warm bed , made with soft sheets , and well-covered with cloaths , to the intent he might there sweat three or four hours or longer , according to his strength , and whenby this means they could hardly provoke him to sweat , they laid tyles heated at the fire to his feet , which might , by reason of their extraordinary heat provoke sweat .",person,he,-1,the infected person hath,"[the infected person hath, he, he, his, him, his]",True
Male,"7 . When the infected person hath applyed this or some other Medicine of the like nature , he is laid in a warm bed , made with soft sheets , and well-covered with cloaths , to the intent he might there sweat three or four hours or longer , according to his strength , and whenby this means they could hardly provoke him to sweat , they laid tyles heated at the fire to his feet , which might , by reason of their extraordinary heat provoke sweat .",person,he,-1,they,"[they, they, their]",False
Male,The author declares that he has no conflict of interest and no financial support .,author,he,-1,The author,"[The author, he]",True
Male,"The Sowetan ( 2019d ) reported on a teacher who was arrested for exchanging pornographic material with a 14-year-old learner with whom he was allegedly having a relationship ( Sowetan 2019d ) , and the Cape Argus ( 2019 ) reported that a deputy principal of a primary school was suspended following allegations that he molested several grade 7 girls .",teacher,he,-1,The Sowetan ( 2019d ),"[The Sowetan ( 2019d ), he, he]",False
Male,"Farrell , army agent , had his place fired before he knew anything about it himself , and Capt .",agent,his,-1,Farrell,"[Farrell, his, he, himself]",False
Male,"Ingraham , formerly a useful officer of the National Navy , who had abandoned his flag and given his services to the Conspirators .",officer,his,1,his,"[his, his]",False
Male,"Their commanding officer is proud to render to them this just tribute of praise , and he is also proud to express his conviction that each other regiment of his brigade is worthy of , and , had circumstances allowed , would have won equal commendation .",officer,he,1,Their,"[Their, them]",False
Male,"Their commanding officer is proud to render to them this just tribute of praise , and he is also proud to express his conviction that each other regiment of his brigade is worthy of , and , had circumstances allowed , would have won equal commendation .",officer,he,1,Their commanding officer,"[Their commanding officer, he, his, his]",True
Male,"He ran no risk in laying an injunction on his friend and ship builder , that no vessels , under his construction , should pass into the hands of the Confederate Goverment .",friend,his,0,He,"[He, his, his]",False
Male,"Wright , the young professor of a Western college , who had lost his place by his bold advocacy of freedom , with a look of sharp concentration , in keeping with an intellect keen as a Damascus blade , closely watched the proceedings through his spectacles , opening his mouth only to speak directly to the purpose . ...",professor,his,1,Wright,"[Wright, his, his, his, his]",False
Male,"He appears to have been , according to the testimony of friend and foe , an exceedingly bad man ; cruel in his nature ; repulsive in features ; rude in manners ; and foul and profane in speech .",friend,his,0,He,"[He, his]",False
Male,"When this person , as a child , had not yet shown what kind of man he would be , he came near being handed over to the Eleven The officers appointed to execute condemned criminals .",person,he,-1,this person,"[this person, he, he]",True
Male,"He was compelled to drop his prisoners and captures , and cut his way out , losing some five hundred officers and men , among them a most valuable officer , Colonel Harrison , who , when fighting his men as skirmishers on foot , was overcome and made prisoner , and is now at Macon .",officer,his,1,He,"[He, his, his, his]",False
Male,"He was compelled to drop his prisoners and captures , and cut his way out , losing some five hundred officers and men , among them a most valuable officer , Colonel Harrison , who , when fighting his men as skirmishers on foot , was overcome and made prisoner , and is now at Macon .",officer,his,1,his prisoners and captures,"[his prisoners and captures, them]",False
Male,"At any rate , Philotas , the physician of Amphissa , used to tell my grandfather , Lamprias , that he was in Alexandria at this time , studying his profession , and that having got well acquainted with one of the royal cooks , he was easily persuaded by him ( young man that he was ) to take a view of the extravagant preparations for a royal supper .",physician,he,1,he,"[he, his, he, him, he]",False
Male,"The writer is fully aware he has written in a rambling manner , and for such an offense he pleads in extenuation the natural time - honored privilege that is kindly granted to age and the reminiscent period .",writer,he,-1,The writer,"[The writer, he, he]",True
Male,Child and his gifted wife .,child,his,1,Child,"[Child, his]",True
Male,"The mate motioned to two of the awe - struck by standers , and the refractory sailor was speedily confined , presenting his bare back for his punishment , without making any resistance .",sailor,his,1,The mate,"[The mate, his, his]",False
Male,"When visiting a friend , he was invited to take a drink , but declined , on the score of his pledge ; when his friend suggested lemonade , which was accepted .",friend,he,0,a friend,"[a friend, his friend]",False
Male,"When visiting a friend , he was invited to take a drink , but declined , on the score of his pledge ; when his friend suggested lemonade , which was accepted .",friend,he,0,he,"[he, his, his]",False
Male,"I trust no person , who , rich himself , is exceedingly courteous to a poor man ; when he extends his hand with a kind air , then is he loading you with some damage .",person,himself,-1,himself,"[himself, he, his, he]",False
Female,"Lytle , the Confederate photographer , who had photographed the grand old flagship and her consorts in war - time , also took this photograph of her when she came as a peaceful visitor .",photographer,her,-1,her,"[her, her, she]",False
Male,"He fell at that post , flag in hand , on the 17th of June , 1864 , gloriously , while his regiment was forced back and his gallant major , Hill , lost an arm in saving his person and his flag from the enemy .",person,his,-1,He,"[He, his, his, his, his]",False
Male,"While the old Doctor was talking his treason the other day , bang went a cannon , and the next moment the whizz and a crash was heard , as a tree - top fell in his lawn .",doctor,his,1,the old Doctor,"[the old Doctor, his, his]",True
Male,"He was a "" farmer boy , "" plain in his manners , and most modest in his desires ; but there dwelt in his manly , stalwart form as stout a heart as ever died for liberty ; yet withal a heart so tender , so affectionate !",farmer,his,1,He,"[He, his, his, his]",False
Male,"The disposition to be made of the Army of the Potomac was one of the first subjects to which the attention of the general - in - chief was called on his arrival in Washington ; and , in order to observe for himself its condition , he made a visit to Harrison 's Landing , leaving Washington on the 24th of July and returning on the 27th .",chief,his,1,the general - in - chief,"[the general - in - chief, his, himself, its, he]",True
Male,"The disposition to be made of the Army of the Potomac was one of the first subjects to which the attention of the general - in - chief was called on his arrival in Washington ; and , in order to observe for himself its condition , he made a visit to Harrison 's Landing , leaving Washington on the 24th of July and returning on the 27th .",chief,his,1,Washington,"[Washington, Washington]",False
Male,"to the great qualities of his friend and associate of many years was worthy of the historic name he bears , and makes us take fresh courage when we think of what virtues still dignify the character and lives of some of our public men .",friend,his,0,his,"[his, he]",False
Male,"to the great qualities of his friend and associate of many years was worthy of the historic name he bears , and makes us take fresh courage when we think of what virtues still dignify the character and lives of some of our public men .",friend,his,0,us,"[us, we]",False
Male,The editor was released on his parole of honor not to leave or attempt to remove his press .,editor,his,1,The editor,"[The editor, his, his]",True
Male,"In both his fields of scholarship â€” Chaucer and the ballad â€”  Child left numerous disciples ; and besides the legacy of a fixed body of material ready to be taken as a point of departure , he left the materials for a very lively and still very active controversy upon ballad origins , into which , however , it is impossible to go here .",child,he,1,Child,"[his, Child, he]",False
Male,"He was captured near this place a few days ago by a guard from his company , and held in custody with a view to being mustered into service , and he applied for this writ against his Captain , alleging that he would not be mustered into service without his consent , which he thought proper to withdraw after he found the company was to go .",guard,He,1,He,"[He, his, he, his, he, his, he, he]",False
Male,"He was captured near this place a few days ago by a guard from his company , and held in custody with a view to being mustered into service , and he applied for this writ against his Captain , alleging that he would not be mustered into service without his consent , which he thought proper to withdraw after he found the company was to go .",guard,He,1,his company,"[his company, the company]",False
Male,"Soon after , a courier informed me that Colonel Chilton wished to see me in front , on the Darbytown road , and that he was sent to conduct me to him .",courier,he,1,Colonel Chilton,"[Colonel Chilton, he, him]",False
Male,"It can not accede to the mad project of disunion , of which you would be the first victims â€” its first magistrate can not , if he would , avoid the performance of his duty â€” the consequence must be fearful for you , distressing to your fellow - citizens here , and the friends of good government throughout the world .",magistrate,his,1,It,"[It, its]",False
Male,"It can not accede to the mad project of disunion , of which you would be the first victims â€” its first magistrate can not , if he would , avoid the performance of his duty â€” the consequence must be fearful for you , distressing to your fellow - citizens here , and the friends of good government throughout the world .",magistrate,his,1,its first magistrate can not,"[its first magistrate can not, he, his]",False
Male,"orders were , the men of his army , either his rear guard or his stragglers , did apply the fire , and that this was a sufficient cause for all else that followed .",guard,his,1,his,"[his, his, his]",False
Male,"C. Curio , of whom we have heard  so often , the pupil and friend of Cicero , of whom he hoped such high things , had ruined himself by his extravagant funeral games , and during his year of office was won over to Caesar 's side by being relieved by him from his enormous debts .",friend,himself,0,he,"[he, himself, his, his, him, his]",False
Male,"A person , whose name we do n't know â€” and , in fact , we know nothing of his antecedents , except that he came from Baltimore â€” became enamored of the charms of a young lady , an actress at the Theatre , whose name we suppress , from causes which must be apparent to every right - minded person .",person,his,-1,we,"[we, we]",False
Male,"A person , whose name we do n't know â€” and , in fact , we know nothing of his antecedents , except that he came from Baltimore â€” became enamored of the charms of a young lady , an actress at the Theatre , whose name we suppress , from causes which must be apparent to every right - minded person .",person,his,-1,his,"[his, he]",False
Male,"The driver , however , was a boorish fellow , and paid no heed to him , but drove his team along .",driver,his,1,The driver,"[The driver, him, his]",True
Male,"But just as I was uttering the words , I saw a sailor in the upper gallery springing over the railing , letting himself down from one tier to another , until he bounded clear over the orchestra and footlights , and placed himself beside me in a moment . '",sailor,himself,1,a sailor in the upper gallery springing over the railing,"[a sailor in the upper gallery springing over the railing, himself, he, himself]",True
Male,15 . What else was there in which a man of high birth and a distinguished lawyer would sooner admit his inferiority ?,lawyer,his,1,a man of high birth and a distinguished lawyer,"[a man of high birth and a distinguished lawyer, his]",True
Male,", it will be remembered , was arrested on charge of conspiring with two negroes to murder their master , but as negro evidence could not be taken , he was given until to - day to dispose of his Goochland property , when he will be escorted to the West by a strong guard , and ordered never to return again .",guard,he,1,two negroes,"[two negroes, their]",False
Male,", it will be remembered , was arrested on charge of conspiring with two negroes to murder their master , but as negro evidence could not be taken , he was given until to - day to dispose of his Goochland property , when he will be escorted to the West by a strong guard , and ordered never to return again .",guard,he,1,he,"[he, his, he]",False
Male,On inquiry â€” for he intended to keep in the city employ no longer any officer who had violated his orders â€” he ascertained that the complaint are in this wise .,officer,his,1,he,"[he, his, he]",False
Male,"When the boat came alongside , the old captain was relieved of his worst apprehensions , instead of his pursuer being a pirate , she was only the Alabama , and though he was told his vessel would be burned in the morning , and that all his worldly goods would go up in a cloud of smoke , he thanked God that it was no worse .",captain,his,1,the old captain,"[the old captain, his, his, he, his, his, he]",True
Male,Former lead guitarist Roger Johnson currently works with his wife in publishing .,guitarist,his,1,Former lead guitarist Roger Johnson,"[Former lead guitarist Roger Johnson, his]",True
Male,"During his 4Music # Hangout , he explained that the barber who cut his hair that day only spoke English and could not read or write it , and so to him he was in fact carving a picture in to the back of Ronson 's head .",barber,he,1,his,"[his, he, his, him, he]",False
Male,"When Somerset captain Jamie Cox broke his thumb , Burns took charge of the team for six matches in June and July 2001 , a role he reprised for eight matches the following season .",captain,his,1,Somerset captain Jamie Cox,"[Somerset captain Jamie Cox, his]",True
Male,"When Somerset captain Jamie Cox broke his thumb , Burns took charge of the team for six matches in June and July 2001 , a role he reprised for eight matches the following season .",captain,his,1,Burns,"[Burns, he]",False
Male,"On December 1 , Harvard librarian John Langdon Sibley wrote in his journal : "" The standing of Dr. Webster , his uniform tenor of conduct since the disappearance of Dr. Parkman , his artlessness & unfamiliarity with the crime of any kind have been such that the excitement , the melancholy , the aghastness of every body are indescribable .",librarian,his,-1,Harvard librarian John Langdon Sibley,"[Harvard librarian John Langdon Sibley, his, his, his]",True
Female,"Rice believed that the singer would suit in the title role since she could "" act beautifully through music "" .",singer,she,-1,the singer,"[the singer, she]",True
Male,Every child and every man had his utmost to contribute to survival .,child,his,1,Every child and every man,"[Every child and every man, his]",True
Male,"Her portrait hung in many Virginia City saloons , and author Rex Beach immortalized her as "" Cherry Malotte "" in his novel , "" The Spoilers "" .",author,his,-1,Her,"[Her, her]",False
Male,"Her portrait hung in many Virginia City saloons , and author Rex Beach immortalized her as "" Cherry Malotte "" in his novel , "" The Spoilers "" .",author,his,-1,author Rex Beach,"[author Rex Beach, his]",True
Male,"In 1912 he also joined the Board of Directors of the Banca Commerciale Italiana and in 1915 , when the then - managing director Otto Joel was removed from his position due to his German origins , which were incompatible with the nationalistic climate following Italian entry into the First World War , he was replaced by Fenoglio himself along together with Giuseppe Toeplitz .",director,his,1,he,"[he, he]",False
Male,"In 1912 he also joined the Board of Directors of the Banca Commerciale Italiana and in 1915 , when the then - managing director Otto Joel was removed from his position due to his German origins , which were incompatible with the nationalistic climate following Italian entry into the First World War , he was replaced by Fenoglio himself along together with Giuseppe Toeplitz .",director,his,1,the then - managing director Otto Joel,"[the then - managing director Otto Joel, his, his]",True
Female,"A second music video for the song was released on 17 March 2014 , which features the singer partying with her friends in a Swedish club .",singer,her,-1,the singer,"[the singer, her]",True
Male,"According to Cioculescu : "" This is , after all , the only place where the author reveals his entirely justified philological pride . """,author,his,-1,the author,"[the author, his]",True
Male,"In December 1959 , the Duke of Edinburgh visited Saunders - Roe at East Cowes and persuaded the chief test - pilot , Commander Peter Lamb , to allow him to take over the SR.N1 's controls .",pilot,him,1,"the chief test - pilot , Commander Peter Lamb","[the chief test - pilot , Commander Peter Lamb, him]",True
Male,"He says that if one were to examine existence only in terms of humanity , then that person may observe evil to dominate good , but if one looks at the whole of the universe , then he sees good is significantly more common than evil ( Guide 3:12 ) .",person,he,-1,He,"[He, he]",False
Male,"Kansas - born political writer Thomas Frank quoted lyrics from their song "" Sex Drive "" in his bestselling 2004 book "" What 's the Matter with Kansas ? "" .",writer,his,-1,Kansas - born political writer Thomas Frank,"[Kansas - born political writer Thomas Frank, his]",True
Male,"There is some evidence that these two gods were considered aspects of a single being , as when a singer in the asks where he can go given that "" "" ( "" they , God , stand double "" ) .",singer,he,1,a singer in the asks where he can go,"[a singer in the asks where he can go, he]",True
Male,"Cheers - but please when you are quoting a post , be sure not to imply that the editor wrote what he has quoted from a reliable source !",editor,he,1,the editor,"[the editor, he]",True
Male,"Teachers that select appropriate literature for their classroom needs may provide a child with a "" character in a story to help the child understand himself Classroom story time and a guided discussion allows students to "" become aware of problems of other children and develop empathy "" .",child,himself,1,Teachers that select appropriate literature for their classroom needs,"[Teachers that select appropriate literature for their classroom needs, their]",False
Male,"Teachers that select appropriate literature for their classroom needs may provide a child with a "" character in a story to help the child understand himself Classroom story time and a guided discussion allows students to "" become aware of problems of other children and develop empathy "" .",child,himself,1,a child,"[a child, the child]",False
Male,"One "" matai "" ( chief ) was expelled from his village for suspicion of procuring prostitutes for the Americans .",chief,his,1,"One "" matai "" ( chief )","[One "" matai "" ( chief ), his]",True
Male,"While in contrast to this , another biographer , Kavi Karnapura , in his "" Krishna Chaitanya Chartamritam Maha - vakyam "" , written in Sanskrit in 1542 , makes no explicit references to Islam , and when referring to the famed saint Haridasa , the author does not speak of his parentage .",author,his,-1,the author,"[the author, his]",True
Male,"The emailer forwarded the emails to the Federal Bureau of Investigation to report the threats , and Kasowitz subsequently issued a statement saying "" The person sending that email is entitled to his opinion , and I should not have responded in that inappropriate manner ...",person,his,-1,""" The person sending that email","["" The person sending that email, his]",True
Male,"In June 2011 , new Fulham manager Martin Jol said he wanted to loan Stockdale out to get a regular run of games , but had no intention of selling the player .",manager,he,1,new Fulham manager Martin Jol,"[new Fulham manager Martin Jol, he]",True
Male,"Cora and Edith make up a story to tell her father Robert , that the pig farmer can not financially care for this child along with his own children , and Edith asks Robert if Marigold can become her "" ward . """,farmer,his,1,Edith,"[Edith, her, her]",False
Male,"Cora and Edith make up a story to tell her father Robert , that the pig farmer can not financially care for this child along with his own children , and Edith asks Robert if Marigold can become her "" ward . """,farmer,his,1,the pig farmer,"[the pig farmer, his]",True
Male,"Morelli was immensely influential in the arts of the second half of the 19th century , both as director of the Accademia di Belle Arti in Naples , but also because of his rebelliousness against institutions : traits that flourished into the passionate , often patriotic , Romantic and later Symbolist subjects of his canvases .",director,his,1,Morelli,"[Morelli, his, his]",False
Male,After his first national title the National team 's head coach Pierre Berbizier called Marcato in the squad and made his debut against Japan in July 2006 :,coach,his,1,his,"[his, his]",False
Male,"The plot follows a secret agent ( Smith ) who is accidentally transformed into a pigeon by an intelligent young scientist ( Holland ) ; the two must then work together to stop a revenge - seeking cybernetic terrorist , and return the agent to his human form .",agent,his,-1,a secret agent ( Smith ) who is accidentally transformed into a pigeon by an intelligent young scientist ( Holland ),"[a secret agent ( Smith ) who is accidentally transformed into a pigeon by an intelligent young scientist ( Holland ), the agent, his]",False
Male,"Every sailor had his own bunk , so there was no hot bunking .",sailor,his,1,Every sailor,"[Every sailor, his]",True
Female,"In an obituary , â€œ A friend â€ wrote of her many accomplishments , all made with her â€œ facile pen and fertile brain . â€",friend,her,0,A friend,"[A friend, her, her]",True
Female,"German singer Mary Roos covered the song in her language as "" In Gedanken "" ( "" In thought "" ) .",singer,her,-1,German singer Mary Roos,"[German singer Mary Roos, her]",True
Male,Andrew Shanu ( 1858 â€“ July 1905 ) was an African photographer noted for his involvement in the campaign against inhumane abuses in the Congo Free State .,photographer,his,1,an African photographer,"[an African photographer, his]",False
Male,"Indeed , former Dallas manager and president of UMPH Lovick Pierce said as he was departing his position in 1970 , "" As Cokesbury retail sales go , so goes the Publishing House "" .",manager,he,1,former Dallas manager and president of UMPH Lovick Pierce,"[former Dallas manager and president of UMPH Lovick Pierce, he, his]",True
Male,"The language was created by Steve Dekorte in 2002 , after trying to help a friend , Dru Nelson , with his language , Cel .",friend,his,0,Steve Dekorte,"[Steve Dekorte, his]",False
Male,"Lawrence "" Jack "" Imel ( June 9 , 1932 â€“ April 30 , 2017 ) was an American musician , dancer , singer , and television producer who is best known for his work on "" The Lawrence Welk Show "" .",producer,his,1,"Lawrence "" Jack "" Imel ( June 9 , 1932 â€“ April 30 , 2017 )","[Lawrence "" Jack "" Imel ( June 9 , 1932 â€“ April 30 , 2017 ), his]",False
Male,"Being the producer of this deception brought him to a kind of leadership , as he commented himself .",producer,he,1,him,"[him, he, himself]",False
Female,Marilyn Minter ( born 1948 ) is an American visual artist who is perhaps best known for her sensual paintings and photographs done in the photorealism style that blur the line between commercial and fine art .,artist,her,-1,Marilyn Minter ( born 1948 ),"[Marilyn Minter ( born 1948 ), her]",False
Male,"Smith , the Kennedy family business manager and "" master fixer "" , resigned himself to the fact that the political damage had been done , and Kennedy 's chance of running for President at the next available window , 1972 , was gone .",manager,himself,1,"Smith , the Kennedy family business manager and "" master fixer ""","[Smith , the Kennedy family business manager and "" master fixer "", himself]",True
Male,"Smith , the Kennedy family business manager and "" master fixer "" , resigned himself to the fact that the political damage had been done , and Kennedy 's chance of running for President at the next available window , 1972 , was gone .",manager,himself,1,Kennedy,"[Kennedy, Kennedy]",False
Female,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic .",psychologist,her,1,She,"[She, her]",False
Male,"That a young , fit and healthy person could just break his leg like this seemed unlikely to the doctors at the hospital .",person,his,-1,"a young , fit and healthy person","[a young , fit and healthy person, his]",True
Male,"They instituted the spread offense , which Elway had picked up from his son John 's high school coach , Jack Neumeier .",coach,his,1,Elway,"[Elway, his]",False
Female,"Nick , an Australian rugby coach who explains that he expected a different kind of festival ; a female journalist friend suggested him to come here while she would be here to write a story about the festival .",friend,she,0,he,"[he, him]",False
Female,"Nick , an Australian rugby coach who explains that he expected a different kind of festival ; a female journalist friend suggested him to come here while she would be here to write a story about the festival .",friend,she,0,festival,"[festival, the festival]",False
Female,"Nick , an Australian rugby coach who explains that he expected a different kind of festival ; a female journalist friend suggested him to come here while she would be here to write a story about the festival .",friend,she,0,a female journalist friend,"[a female journalist friend, she]",True
Male,"Men and women , faithful and diligent , loving and worthy to be loved , and bearing , it may be , no more than an almost imperceptible trace of African descent , will continue yet longer to be banished from the social meal of the white man , and to be spurned from his presence in the house of God , because a writer of genius has lent the weight of his authority and his fame , if not of his power , to the perpetuation of a prejudice which Christianity was undermining .",writer,his,-1,the white man,"[the white man, his, his, his, his]",False
Male,"In 1876 , American civil engineer Richard Sears McCulloh , in his "" Treatise on the Mechanical Theory of Heat and its Application to the Steam - Engine "" , which was an early thermodynamics textbook , states , after speaking about the laws of the physical world , that "" there are none that are established on a firmer basis than the two general propositions of Joule and Carnot ; which constitute the fundamental laws of our subject . """,engineer,his,1,American civil engineer Richard Sears McCulloh,"[American civil engineer Richard Sears McCulloh, his]",True
Male,"In 1876 , American civil engineer Richard Sears McCulloh , in his "" Treatise on the Mechanical Theory of Heat and its Application to the Steam - Engine "" , which was an early thermodynamics textbook , states , after speaking about the laws of the physical world , that "" there are none that are established on a firmer basis than the two general propositions of Joule and Carnot ; which constitute the fundamental laws of our subject . """,engineer,his,1,the Mechanical Theory of Heat,"[the Mechanical Theory of Heat, its]",False
Male,Neither the captain nor his passengers were able to complete their journey .,captain,his,1,the captain nor his passengers,"[the captain nor his passengers, their]",False
Male,"The artist himself refers to these works as videos rather than GIF animations "" because they are originally video works [ exhibited ] in video format [ â€¦ ] , "" explaining ,",artist,himself,1,these works,"[these works, they]",False
Male,"Rogers Smith ( born September 20 , 1953 ) is an American political scientist and author noted for his research and writing on American constitutional and political development and political thought , with a focus on issues of citizenship and racial , gender , and class inequalities .",scientist,his,1,"Rogers Smith ( born September 20 , 1953 )","[Rogers Smith ( born September 20 , 1953 ), his]",False
Male,Publications on the artist and his work include a supplement in the literary magazine PÃ©Ã±ola in 1981 and a retrospective of his drawing in the art magazine VARIA in 1984 .,artist,his,1,the artist,"[the artist, his, his]",True
Male,"In 1857 Savage went to Washington , were he became the principal leader writer on the States Journal .",writer,he,-1,Savage,"[Savage, he]",False
