,Unnamed: 0,predicted gender,correct,sentence_text,profession,g,g_first_index,profession_first_index,stereotype,corpus,data_index,distance,num_of_pronouns
20,1075,Female,1,"Once infected , the agent starts his / her incubation period , which follows a Weibull distribution W eibull(0.11 , 1.97 ) with a mean of 8.29 days and a median of 7.76 days , based on [ 41 ] .",agent,her,8,4,1,covid19,17,4,2
21,2623,Female,1,A physician who respects her autonomy should respect Ann 's right to make this decision .,physician,her,4,1,-1,covid19,17,3,1
22,7384,Male,1,"Following this the patient developed torticollis and held his head turned to the left , it was then realised that the patient was suffering from an acute dystonic reaction .",patient,his,8,3,0,covid19,17,5,1
23,1600,Male,1,Only one patient had a QTc ,patient,he,21,2,0,covid19,11,19,1
24,1700,Male,1,"In addition , patient was also having shortness of breath mostly on lying flat and he has recently started sleeping in a recliner .",patient,he,15,3,0,covid19,11,12,1
25,258,Female,1,""" When they provide him or her with treatment and care , doctors and nurses should put emphasis on the patient himself or herself .",patient,herself,23,20,0,covid19,10,3,3
26,3210,Female,1,"Twenty years ago , 45 the patient consulted her physician because of rhinitis , which was consecutively diagnosed 46 as CRSwNP .",patient,her,8,6,0,covid19,17,2,1
27,1081,Female,1,"In our cohort , the only patient who died was a patient with NDMM receiving frontline therapy , and she showed signs of additional bacterial infection .",patient,she,19,6,0,covid19,11,13,1
28,4156,Male,1,"Further questioning revealed that the patient had a fever for the last 14 days , and he later tested positive for COVID-19 infection only .",patient,he,16,5,0,covid19,11,11,1
29,6512,Male,1,"Results In the pre-COVID era , an average aesthetic surgeon was finely balancing his profession , personal lifestyle , learning , and recreation .",surgeon,his,13,9,1,covid19,17,4,1
30,3438,Male,1,"As shown in Fig. 3 ( pink bounding boxes ) , if a person is occluded by an object or by other people , CenterNet predicts a tight bounding box that only contains the visible part of the person , ignoring his full shape .",person,his,41,38,-1,covid19,17,3,1
31,1557,Female,1,"I have shown that this student pushes back against advice with claims of epistemic primacy , and more subtly when she delivers unmarked acknowledgments such as ' okay ' , particularly when these are produced more quietly , with slightly raising intonation or stretched , showing that she may be less than convinced .",student,she,47,5,1,covid19,4,42,2
32,1366,Male,1,"Peter ( B23 ) is a musician and music editor who has been using his MacBook Pro and a specialist application ( MainStage ) to emulate "" the sounds of pro keyboards like Roland RD pianos and synths when playing live "" .",editor,his,14,9,1,covid19,17,5,1
34,368,Male,1,"Moreover , the patient reported that his 8-year-old daughter developed flu-like symptoms with a high-grade fever ( 40.7 C/105 F ) $ 1 week after his first symptoms .",patient,his,6,3,0,covid19,21,3,2
35,10126,Female,1,"A low probability of the patient forming her own immune response became the argument for starting therapy with hyperimmune SARS-CoV-2 convalescent plasma in combination with other therapeutic options , despite the lack of published data on similar experiences in the pediatric cohort .",patient,her,7,5,0,covid19,17,2,1
36,3958,Male,1,We use genetic data from this child and his family to illustrate how comprehensive genetic profiling may also assist in the characterisation of 16p11.2 microdeletion syndrome .,child,his,8,6,1,covid19,20,2,1
37,7610,Male,1,"After the fourth dose of IVIG , the patient was able to close his eyes , frown , show his teeth , and smile .",patient,his,13,8,0,covid19,17,5,2
38,2615,Female,1,"These two might not have any social contact in normal situation , however , when node j ( the student ) is sick , she can possibly pass infection to node i ( the nurse ) ; and this is the contact important for epidemic modeling purpose .",student,she,24,19,1,covid19,12,5,1
39,4125,Female,1,The patient went into home isolation with no symptoms and monitored her vitals twice daily after receiving confirmation of a positive RT-qPCR ( quantitative reverse transcription polymerase chain reaction ) result .,patient,her,11,1,0,covid19,17,10,1
40,8741,Male,1,"In the following 24 hours , the patient experienced a clinically unpredictable dramatic worsening of his clinical condition due to the onset of severe respiratory distress despite adequate oxygen supply ( PaO2/FiO2 = 88 mmHg , respiratory rate higher than 35 breaths per minute ) .",patient,his,15,7,0,covid19,17,8,1
41,1906,Female,1,The author declares that she has no conflict of interest,author,she,4,1,1,covid19,4,3,1
42,9136,Male,1,"With restricted resources , the student will be limited in conducting his own study .",student,his,11,5,-1,covid19,17,6,1
43,2378,Male,1,"7 . When the infected person hath applyed this or some other Medicine of the like nature , he is laid in a warm bed , made with soft sheets , and well-covered with cloaths , to the intent he might there sweat three or four hours or longer , according to his strength , and whenby this means they could hardly provoke him to sweat , they laid tyles heated at the fire to his feet , which might , by reason of their extraordinary heat provoke sweat .",person,he,18,5,-1,covid19,11,13,4
45,3086,Male,1,The author declares that he has no conflict of interest and no financial support .,author,he,4,1,-1,covid19,4,3,1
46,98,Male,1,"The Sowetan ( 2019d ) reported on a teacher who was arrested for exchanging pornographic material with a 14-year-old learner with whom he was allegedly having a relationship ( Sowetan 2019d ) , and the Cape Argus ( 2019 ) reported that a deputy principal of a primary school was suspended following allegations that he molested several grade 7 girls .",teacher,he,22,8,-1,covid19,18,14,2
51,15751,Male,1,"Farrell , army agent , had his place fired before he knew anything about it himself , and Capt .",agent,his,7,4,-1,perseus,21,3,3
52,29825,Male,1,"Ingraham , formerly a useful officer of the National Navy , who had abandoned his flag and given his services to the Conspirators .",officer,his,19,6,1,perseus,21,13,2
53,12212,Male,1,"Their commanding officer is proud to render to them this just tribute of praise , and he is also proud to express his conviction that each other regiment of his brigade is worthy of , and , had circumstances allowed , would have won equal commendation .",officer,he,16,2,1,perseus,11,14,3
57,1058,Male,1,"He ran no risk in laying an injunction on his friend and ship builder , that no vessels , under his construction , should pass into the hands of the Confederate Goverment .",friend,his,9,10,0,perseus,20,1,2
58,30694,Male,1,"Wright , the young professor of a Western college , who had lost his place by his bold advocacy of freedom , with a look of sharp concentration , in keeping with an intellect keen as a Damascus blade , closely watched the proceedings through his spectacles , opening his mouth only to speak directly to the purpose . ...",professor,his,50,5,1,perseus,21,45,4
62,2000,Male,1,"He appears to have been , according to the testimony of friend and foe , an exceedingly bad man ; cruel in his nature ; repulsive in features ; rude in manners ; and foul and profane in speech .",friend,his,22,11,0,perseus,15,11,1
64,3660,Male,1,"When this person , as a child , had not yet shown what kind of man he would be , he came near being handed over to the Eleven The officers appointed to execute condemned criminals .",person,he,16,2,-1,perseus,4,14,2
66,41079,Male,1,"He was compelled to drop his prisoners and captures , and cut his way out , losing some five hundred officers and men , among them a most valuable officer , Colonel Harrison , who , when fighting his men as skirmishers on foot , was overcome and made prisoner , and is now at Macon .",officer,his,41,29,1,perseus,21,12,3
67,846,Male,1,"At any rate , Philotas , the physician of Amphissa , used to tell my grandfather , Lamprias , that he was in Alexandria at this time , studying his profession , and that having got well acquainted with one of the royal cooks , he was easily persuaded by him ( young man that he was ) to take a view of the extravagant preparations for a royal supper .",physician,he,45,7,1,perseus,9,38,4
68,5602,Male,1,"The writer is fully aware he has written in a rambling manner , and for such an offense he pleads in extenuation the natural time - honored privilege that is kindly granted to age and the reminiscent period .",writer,he,18,1,-1,perseus,11,17,2
69,16784,Male,1,Child and his gifted wife .,child,his,3,0,1,perseus,20,3,1
71,6640,Male,1,"The mate motioned to two of the awe - struck by standers , and the refractory sailor was speedily confined , presenting his bare back for his punishment , without making any resistance .",sailor,his,22,16,1,perseus,21,6,2
73,157,Male,1,"When visiting a friend , he was invited to take a drink , but declined , on the score of his pledge ; when his friend suggested lemonade , which was accepted .",friend,he,6,26,0,perseus,12,20,3
74,2389,Male,1,"I trust no person , who , rich himself , is exceedingly courteous to a poor man ; when he extends his hand with a kind air , then is he loading you with some damage .",person,himself,8,3,-1,perseus,3,5,4
75,31596,Female,1,"Lytle , the Confederate photographer , who had photographed the grand old flagship and her consorts in war - time , also took this photograph of her when she came as a peaceful visitor .",photographer,her,27,5,-1,perseus,21,22,3
76,25779,Male,1,With his own hand Wayne struck down a war chief .,chief,his,1,11,1,perseus,6,10,1
77,13979,Male,1,"He fell at that post , flag in hand , on the 17th of June , 1864 , gloriously , while his regiment was forced back and his gallant major , Hill , lost an arm in saving his person and his flag from the enemy .",person,his,44,42,-1,perseus,20,2,4
78,194,Male,1,"While the old Doctor was talking his treason the other day , bang went a cannon , and the next moment the whizz and a crash was heard , as a tree - top fell in his lawn .",doctor,his,6,3,1,perseus,21,3,2
80,5568,Male,1,"He was a "" farmer boy , "" plain in his manners , and most modest in his desires ; but there dwelt in his manly , stalwart form as stout a heart as ever died for liberty ; yet withal a heart so tender , so affectionate !",farmer,his,10,4,1,perseus,15,6,3
81,3325,Male,1,"The disposition to be made of the Army of the Potomac was one of the first subjects to which the attention of the general - in - chief was called on his arrival in Washington ; and , in order to observe for himself its condition , he made a visit to Harrison 's Landing , leaving Washington on the 24th of July and returning on the 27th .",chief,his,31,27,1,perseus,1,4,3
82,12984,Male,1,"to the great qualities of his friend and associate of many years was worthy of the historic name he bears , and makes us take fresh courage when we think of what virtues still dignify the character and lives of some of our public men .",friend,his,5,6,0,perseus,20,1,2
83,21671,Male,1,The editor was released on his parole of honor not to leave or attempt to remove his press .,editor,his,5,1,1,perseus,6,4,2
84,2329,Male,1,"( d. 1837 ) , a New England physician , who moved to New York and established himself as bookseller .",physician,himself,19,10,1,perseus,3,9,1
85,6808,Male,1,"In both his fields of scholarship â€” Chaucer and the ballad â€”  Child left numerous disciples ; and besides the legacy of a fixed body of material ready to be taken as a point of departure , he left the materials for a very lively and still very active controversy upon ballad origins , into which , however , it is impossible to go here .",child,he,39,13,1,perseus,11,26,2
86,1395,Male,1,"He was captured near this place a few days ago by a guard from his company , and held in custody with a view to being mustered into service , and he applied for this writ against his Captain , alleging that he would not be mustered into service without his consent , which he thought proper to withdraw after he found the company was to go .",guard,He,0,12,1,perseus,9,12,7
87,1056,Male,1,"Soon after , a courier informed me that Colonel Chilton wished to see me in front , on the Darbytown road , and that he was sent to conduct me to him .",courier,he,27,4,1,perseus,9,23,1
88,297,Male,1,"It can not accede to the mad project of disunion , of which you would be the first victims â€” its first magistrate can not , if he would , avoid the performance of his duty â€” the consequence must be fearful for you , distressing to your fellow - citizens here , and the friends of good government throughout the world .",magistrate,his,34,22,1,perseus,21,12,2
89,2664,Male,1,"orders were , the men of his army , either his rear guard or his stragglers , did apply the fire , and that this was a sufficient cause for all else that followed .",guard,his,14,12,1,perseus,20,2,3
90,1676,Male,1,"C. Curio , of whom we have heard  so often , the pupil and friend of Cicero , of whom he hoped such high things , had ruined himself by his extravagant funeral games , and during his year of office was won over to Caesar 's side by being relieved by him from his enormous debts .",friend,himself,30,15,0,perseus,3,15,5
91,12971,Male,1,"A person , whose name we do n't know â€” and , in fact , we know nothing of his antecedents , except that he came from Baltimore â€” became enamored of the charms of a young lady , an actress at the Theatre , whose name we suppress , from causes which must be apparent to every right - minded person .",person,his,19,1,-1,perseus,21,18,2
92,11904,Male,1,"The driver , however , was a boorish fellow , and paid no heed to him , but drove his team along .",driver,his,19,1,1,perseus,21,18,1
93,2392,Male,1,"But just as I was uttering the words , I saw a sailor in the upper gallery springing over the railing , letting himself down from one tier to another , until he bounded clear over the orchestra and footlights , and placed himself beside me in a moment . '",sailor,himself,23,12,1,perseus,3,11,3
95,29050,Male,1,15 . What else was there in which a man of high birth and a distinguished lawyer would sooner admit his inferiority ?,lawyer,his,20,16,1,perseus,21,4,1
96,137,Male,1,", it will be remembered , was arrested on charge of conspiring with two negroes to murder their master , but as negro evidence could not be taken , he was given until to - day to dispose of his Goochland property , when he will be escorted to the West by a strong guard , and ordered never to return again .",guard,he,29,54,1,perseus,12,25,3
97,28394,Male,1,On inquiry â€” for he intended to keep in the city employ no longer any officer who had violated his orders â€” he ascertained that the complaint are in this wise .,officer,his,19,15,1,perseus,21,4,3
98,23218,Male,1,"When the boat came alongside , the old captain was relieved of his worst apprehensions , instead of his pursuer being a pirate , she was only the Alabama , and though he was told his vessel would be burned in the morning , and that all his worldly goods would go up in a cloud of smoke , he thanked God that it was no worse .",captain,his,12,8,1,perseus,6,4,7
2,140344,Male,1,"The New Zealand child and his family "" , was published in 1970 .",child,his,5,3,1,wikipedia,20,2,1
3,13212,Male,1,Former lead guitarist Roger Johnson currently works with his wife in publishing .,guitarist,his,8,2,1,wikipedia,15,6,1
4,28009,Male,1,"During his 4Music # Hangout , he explained that the barber who cut his hair that day only spoke English and could not read or write it , and so to him he was in fact carving a picture in to the back of Ronson 's head .",barber,he,32,10,1,wikipedia,11,22,4
5,187008,Male,1,"When Somerset captain Jamie Cox broke his thumb , Burns took charge of the team for six matches in June and July 2001 , a role he reprised for eight matches the following season .",captain,his,6,2,1,wikipedia,21,4,2
6,43143,Male,1,"On December 1 , Harvard librarian John Langdon Sibley wrote in his journal : "" The standing of Dr. Webster , his uniform tenor of conduct since the disappearance of Dr. Parkman , his artlessness & unfamiliarity with the crime of any kind have been such that the excitement , the melancholy , the aghastness of every body are indescribable .",librarian,his,11,5,-1,wikipedia,15,6,3
7,204269,Male,1,"For his work with youth soccer , head coach Kerry Shubert was named 2008 """,coach,his,1,8,1,wikipedia,1,7,1
8,56913,Female,1,"Rice believed that the singer would suit in the title role since she could "" act beautifully through music "" .",singer,she,12,4,-1,wikipedia,16,8,1
9,102515,Male,1,"On 22 March , a pilot of the Free Libyan Air Force , Colonel Fakhri Alsalabi , flew his jet into Bab Al Azizia in an apparent suicide mission , causing extensive damage and leading to rumors of Khamis Gaddafi 's death , who later was proven to have survived unharmed .",pilot,his,18,5,1,wikipedia,21,13,1
10,187049,Male,1,Every child and every man had his utmost to contribute to survival .,child,his,6,1,1,wikipedia,21,5,1
11,69323,Male,1,"Her portrait hung in many Virginia City saloons , and author Rex Beach immortalized her as "" Cherry Malotte "" in his novel , "" The Spoilers "" .",author,his,21,10,-1,wikipedia,15,11,3
12,142592,Male,1,"In 1912 he also joined the Board of Directors of the Banca Commerciale Italiana and in 1915 , when the then - managing director Otto Joel was removed from his position due to his German origins , which were incompatible with the nationalistic climate following Italian entry into the First World War , he was replaced by Fenoglio himself along together with Giuseppe Toeplitz .",director,his,29,23,1,wikipedia,1,6,5
13,147051,Female,1,"A second music video for the song was released on 17 March 2014 , which features the singer partying with her friends in a Swedish club .",singer,her,20,17,-1,wikipedia,14,3,1
14,4174,Male,1,"According to Cioculescu : "" This is , after all , the only place where the author reveals his entirely justified philological pride . """,author,his,18,16,-1,wikipedia,21,2,1
15,3139,Male,1,"In December 1959 , the Duke of Edinburgh visited Saunders - Roe at East Cowes and persuaded the chief test - pilot , Commander Peter Lamb , to allow him to take over the SR.N1 's controls .",pilot,him,29,21,1,wikipedia,19,8,0
16,63650,Male,1,"He says that if one were to examine existence only in terms of humanity , then that person may observe evil to dominate good , but if one looks at the whole of the universe , then he sees good is significantly more common than evil ( Guide 3:12 ) .",person,he,37,17,-1,wikipedia,11,20,1
17,17255,Male,1,"Kansas - born political writer Thomas Frank quoted lyrics from their song "" Sex Drive "" in his bestselling 2004 book "" What 's the Matter with Kansas ? "" .",writer,his,17,4,-1,wikipedia,15,13,1
18,2461,Male,1,"There is some evidence that these two gods were considered aspects of a single being , as when a singer in the asks where he can go given that "" "" ( "" they , God , stand double "" ) .",singer,he,24,19,1,wikipedia,16,5,1
20,35810,Male,1,"Cheers - but please when you are quoting a post , be sure not to imply that the editor wrote what he has quoted from a reliable source !",editor,he,21,18,1,wikipedia,4,3,1
21,17601,Male,1,"Teachers that select appropriate literature for their classroom needs may provide a child with a "" character in a story to help the child understand himself Classroom story time and a guided discussion allows students to "" become aware of problems of other children and develop empathy "" .",child,himself,25,23,1,wikipedia,3,2,1
22,175282,Male,1,"One "" matai "" ( chief ) was expelled from his village for suspicion of procuring prostitutes for the Americans .",chief,his,10,5,1,wikipedia,1,5,1
24,175334,Male,1,"While in contrast to this , another biographer , Kavi Karnapura , in his "" Krishna Chaitanya Chartamritam Maha - vakyam "" , written in Sanskrit in 1542 , makes no explicit references to Islam , and when referring to the famed saint Haridasa , the author does not speak of his parentage .",author,his,51,46,-1,wikipedia,14,5,2
25,179717,Male,1,"The emailer forwarded the emails to the Federal Bureau of Investigation to report the threats , and Kasowitz subsequently issued a statement saying "" The person sending that email is entitled to his opinion , and I should not have responded in that inappropriate manner ...",person,his,32,25,-1,wikipedia,1,7,1
27,27961,Male,1,"In June 2011 , new Fulham manager Martin Jol said he wanted to loan Stockdale out to get a regular run of games , but had no intention of selling the player .",manager,he,10,6,1,wikipedia,4,4,1
29,249430,Male,1,"Cora and Edith make up a story to tell her father Robert , that the pig farmer can not financially care for this child along with his own children , and Edith asks Robert if Marigold can become her "" ward . """,farmer,his,26,16,1,wikipedia,14,10,3
31,27328,Male,1,"Morelli was immensely influential in the arts of the second half of the 19th century , both as director of the Accademia di Belle Arti in Naples , but also because of his rebelliousness against institutions : traits that flourished into the passionate , often patriotic , Romantic and later Symbolist subjects of his canvases .",director,his,32,18,1,wikipedia,20,14,2
32,8682,Male,1,After his first national title the National team 's head coach Pierre Berbizier called Marcato in the squad and made his debut against Japan in July 2006 :,coach,his,1,10,1,wikipedia,15,9,2
33,158303,Male,1,"The plot follows a secret agent ( Smith ) who is accidentally transformed into a pigeon by an intelligent young scientist ( Holland ) ; the two must then work together to stop a revenge - seeking cybernetic terrorist , and return the agent to his human form .",agent,his,45,43,-1,wikipedia,6,2,1
34,136452,Male,1,"Every sailor had his own bunk , so there was no hot bunking .",sailor,his,3,1,1,wikipedia,21,2,1
35,240876,Female,1,"In an obituary , â€œ A friend â€ wrote of her many accomplishments , all made with her â€œ facile pen and fertile brain . â€",friend,her,10,6,0,wikipedia,14,4,2
36,30298,Female,1,"German singer Mary Roos covered the song in her language as "" In Gedanken "" ( "" In thought "" ) .",singer,her,8,1,-1,wikipedia,15,7,1
37,186582,Male,1,Andrew Shanu ( 1858 â€“ July 1905 ) was an African photographer noted for his involvement in the campaign against inhumane abuses in the Congo Free State .,photographer,his,14,11,1,wikipedia,14,3,1
38,56374,Male,1,"Indeed , former Dallas manager and president of UMPH Lovick Pierce said as he was departing his position in 1970 , "" As Cokesbury retail sales go , so goes the Publishing House "" .",manager,he,13,4,1,wikipedia,16,9,2
39,464319,Male,1,"The language was created by Steve Dekorte in 2002 , after trying to help a friend , Dru Nelson , with his language , Cel .",friend,his,21,15,0,wikipedia,6,6,1
40,479420,Male,1,"Lawrence "" Jack "" Imel ( June 9 , 1932 â€“ April 30 , 2017 ) was an American musician , dancer , singer , and television producer who is best known for his work on "" The Lawrence Welk Show "" .",producer,his,33,27,1,wikipedia,6,6,1
43,35116,Male,1,"Being the producer of this deception brought him to a kind of leadership , as he commented himself .",producer,he,15,2,1,wikipedia,16,13,2
44,214303,Female,1,Marilyn Minter ( born 1948 ) is an American visual artist who is perhaps best known for her sensual paintings and photographs done in the photorealism style that blur the line between commercial and fine art .,artist,her,17,10,-1,wikipedia,1,7,1
45,35223,Male,1,"Smith , the Kennedy family business manager and "" master fixer "" , resigned himself to the fact that the political damage had been done , and Kennedy 's chance of running for President at the next available window , 1972 , was gone .",manager,himself,14,6,1,wikipedia,3,8,1
46,439583,Female,1,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic .",psychologist,her,3,11,1,wikipedia,6,8,2
48,38987,Male,1,"That a young , fit and healthy person could just break his leg like this seemed unlikely to the doctors at the hospital .",person,his,11,7,-1,wikipedia,21,4,1
49,46353,Male,1,"They instituted the spread offense , which Elway had picked up from his son John 's high school coach , Jack Neumeier .",coach,his,12,18,1,wikipedia,6,6,1
50,6950,Female,1,"Nick , an Australian rugby coach who explains that he expected a different kind of festival ; a female journalist friend suggested him to come here while she would be here to write a story about the festival .",friend,she,27,20,0,wikipedia,5,7,2
51,35674,Male,1,"Men and women , faithful and diligent , loving and worthy to be loved , and bearing , it may be , no more than an almost imperceptible trace of African descent , will continue yet longer to be banished from the social meal of the white man , and to be spurned from his presence in the house of God , because a writer of genius has lent the weight of his authority and his fame , if not of his power , to the perpetuation of a prejudice which Christianity was undermining .",writer,his,75,64,-1,perseus,21,11,4
52,46072,Male,1,"In 1876 , American civil engineer Richard Sears McCulloh , in his "" Treatise on the Mechanical Theory of Heat and its Application to the Steam - Engine "" , which was an early thermodynamics textbook , states , after speaking about the laws of the physical world , that "" there are none that are established on a firmer basis than the two general propositions of Joule and Carnot ; which constitute the fundamental laws of our subject . """,engineer,his,11,5,1,wikipedia,15,6,1
53,25812,Male,1,"In 1963 , Towers was cast in a supporting role in Samuel Fuller 's experimental thriller "" Shock Corridor "" ( 1963 ) , which tells the story of a journalist who commits himself to a psychiatric hospital to solve a murder .",journalist,himself,33,30,-1,wikipedia,3,3,1
54,110408,Male,1,"Following his graduation , the young artist studied painting at the Royal Munich Academy .",artist,his,1,6,1,wikipedia,14,5,1
55,91759,Male,1,Neither the captain nor his passengers were able to complete their journey .,captain,his,4,2,1,wikipedia,20,2,1
56,418,Male,1,"However , he left in January 2007 as the new senior manager , Steve McClaren , wanted the England U-21 manager 's role to be a full - time position .",manager,he,2,11,1,wikipedia,16,9,1
57,748,Male,1,"The artist himself refers to these works as videos rather than GIF animations "" because they are originally video works [ exhibited ] in video format [ â€¦ ] , "" explaining ,",artist,himself,2,1,1,wikipedia,10,1,1
58,46327,Male,1,"Rogers Smith ( born September 20 , 1953 ) is an American political scientist and author noted for his research and writing on American constitutional and political development and political thought , with a focus on issues of citizenship and racial , gender , and class inequalities .",scientist,his,18,13,1,wikipedia,14,5,1
60,8319,Female,1,"Bassist , Vanessa Thornton , has since stated that she was unhappy with Sony ' s promotion of the band ' s previous self-titled album ; a history that also involved the band ' s manager at the time .",bassist,she,9,0,-1,wikipedia,4,9,1
62,81299,Male,1,Publications on the artist and his work include a supplement in the literary magazine PÃ©Ã±ola in 1981 and a retrospective of his drawing in the art magazine VARIA in 1984 .,artist,his,5,3,1,wikipedia,20,2,2
63,19445,Male,1,"In 1857 Savage went to Washington , were he became the principal leader writer on the States Journal .",writer,he,8,13,-1,wikipedia,4,5,1
64,8877,Male,1,"One patient , in whom the catheter became dislodged after 2 weeks , became asymptomatic , but he had a residual 2-cm pancreatic pseudocyst that resolved over the next 6 weeks .",patient,he,17,1,0,pubmed,11,16,1
65,6058,Male,1,"James Herriot , the best selling author of over 60 million copies of books about his experiences of some 50 years as a veterinarian in Thirsk , North Yorkshire , the town which he refers to as Darrowby in his books ( although born in Sunderland ) , has been admired for his easy reading style and interesting characters .",author,his,52,6,-1,wikipedia,1,46,4
66,46049,Male,1,The production designer Don Homfray won a BAFTA for his work on the series .,designer,his,9,2,1,wikipedia,15,7,1
67,28422,Female,1,We describe a patient who was diagnosed with Goodpasture syndrome in her second trimester .,patient,her,11,3,0,pubmed,6,8,1
69,101447,Male,1,"Nathaniel Ward , a Puritan clergyman and author , was made minister of the Shenfield church in 1648 and held that office until his death in 1652 .",author,his,23,7,-1,wikipedia,1,16,1
70,39906,Female,1,"When they arrived , it was revealed that a patient at the hospital had set herself on fire with a lighter .",patient,herself,15,9,0,wikipedia,3,6,1
72,33220,Male,1,"In the film , a young fighter pilot introduces the song to his squadron and so gets nicknamed "" the dark girl "" .",pilot,his,12,7,1,wikipedia,14,5,1
73,403386,Male,1,"On November 22 , a high school student in Dallas is sent by his physics teacher to the Texas School Book Depository to get a copy of Bernstein 's findings .",student,his,13,7,-1,wikipedia,6,6,1
74,12798,Female,1,""" Chiderah Monde of "" New York Daily News "" described the video as "" a straight - forward profile of the artist herself . """,artist,herself,23,22,-1,wikipedia,10,1,1
75,236111,Female,1,"Longtime Juilliard School professor of voice Lucia Dunham , who trained many other famous singers , was also one of her pupils .",professor,her,20,3,-1,wikipedia,14,17,1
76,14505,Male,1,It has been very important to make diagnosis of MEN 2-A because we can introduce the patient and his family to a program of screening to precociously single out the presence of the typical signs of this pathology .,patient,his,18,16,0,pubmed,20,2,1
81,46103,Male,1,Eagles guitarist Joe Walsh plays the song on his solo tours .,guitarist,his,8,1,1,wikipedia,15,7,1
82,53272,Male,1,"Leonard , played by producer Randall Winston , is the hospital ' s security guard who is easily recognizable thanks to his height , giant afro and the hook that he has in place of his right hand .",guard,he,30,14,1,wikipedia,4,16,3
84,4406,Male,1,"Artist Michael Craig - Martin , creator of "" An Oak Tree "" , said of his work â€“ "" It 's not a symbol .",artist,his,16,0,1,wikipedia,15,16,1
85,10662,Male,1,"The patient had a prolonged postoperative course , but he finally recovered well from these operations .",patient,he,9,1,0,pubmed,11,8,1
86,21677,Male,1,"They centre on the philosophical Thai Buddhist detective , Sonchai Jitpleecheep , and his meditative internal dialogues .",detective,his,13,7,1,wikipedia,20,6,1
87,7471,Female,1,e patient was mechanically ventilated and sedated from her initial laparotomy prior to transfer .,patient,her,8,1,0,covid19,6,7,1
88,8689,Male,1,"With machinery so defective , it is only surprising that the writer completed his task so well as he has done .",writer,his,13,11,-1,perseus,21,2,2
